Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Desarrolladores;Editores;Puntuacion_Usuario;Metascore;URL_Slug
Craft The World v1.10.004;Craft The World;RAWG;2014.0;Craft The World es un singular juego de estrategia sandbox, mezcla de Dungeon Keeper, Terraria y Dwarf Fortress. Guía a una tribu de enanos, reúne recursos, construye una fortaleza y rechaza los ataques nocturnos de monstruos.;https://media.rawg.io/media/screenshots/cfe/cfed2e5b127ab7fce676be22b247ab40.jpg;RPG, Strategy, Simulation, Indie;Dekovir Entertainment;Dekovir Entertainment, Black Maple Games;3.86;;craft-the-world
Crash Bandicoot 4 Its About Time;Crash Bandicoot 4: It's About Time;RAWG;2020.0;Neo Cortex y N. Tropy han vuelto, lanzando un asalto total no solo a una, sino a todas las dimensiones. Crash y Coco emprenden una épica aventura a través del tiempo y el espacio con nuevas máscaras que otorgan poderes que doblan la realidad.;https://media.rawg.io/media/games/54a/54a14917b3298bbaacdf9873c3af7229.jpg;Action, Platformer;Beenox, Toys for Bob, Iron Galaxy Studios, Activision Shanghai, Hardsuit Labs;Activision Blizzard, Activision Value Publishing;3.94;84.0;crash-bandicoot-4-its-about-time
Crisis Core  - Final Fantasy VII -  Reunion v1.0.3;Crisis Core: Final Fantasy VII Reunion;RAWG;2022.0;Una remasterización completa de Crisis Core: FFVII, lanzado originalmente en 2007. Sigue al operativo del SOLDIER Zack Fair y los eventos que precedieron a Final Fantasy VII, incluidos sus fatídicos encuentros con Cloud y Sephiroth.;https://media.rawg.io/media/games/f6c/f6cfffdb246351c35b6f07a8bcf6e748.jpg;Action, Adventure, RPG;Square Enix, Tose Co;Square Enix;3.9;;crisis-core-final-fantasy-vii-reunion
Crusader Kings III Royal Edition;The Kings' Crusade;RAWG;2010.0;Las casas reales de Europa lanzan una nueva campaña militar para reconquistar Tierra Santa. Lidera a los cruzados cristianos o a las fuerzas sarracenas de Saladino en este juego de estrategia en tiempo real ambientado durante las Cruzadas.;https://media.rawg.io/media/screenshots/da2/da2a7d34431fe85f6ecfab9e27b5d686.jpg;Strategy;;Paradox Interactive;1.67;71.0;the-kings-crusade
Crysis 1 Remastered (build 17.09.2021);Crysis Warhead;RAWG;2008.0;Una expansión independiente del Crysis original que sigue la historia del sargento Sykes durante la misma invasión alienígena. Incluye niveles más amplios y abiertos, acción más explosiva y el mismo sistema de Nanotraje.;https://media.rawg.io/media/games/e34/e344d4b45f3d393d44cbed087279379c.jpg;Action, Shooter;Crytek;Electronic Arts;3.81;84.0;crysis-warhead
Crysis 2 Remastered;Crysis 2;RAWG;2011.0;La secuela de Crysis está ambientada tres años después en una devastada Nueva York. Los alienígenas Ceph han regresado y debes usar el avanzado Nanotraje 2 para contraatacar en las ruinas urbanas.;https://media.rawg.io/media/games/899/899ce332d07c3fc1dd924bf828d1f484.jpg;Action, Shooter;Electronic Arts, Crytek;Electronic Arts;3.85;85.0;crysis-2
Crysis 3 Remastered;Crysis 3;RAWG;2013.0;Ambientada en una Nueva York futurista encerrada en una enorme cúpula, Prophet caza al Alfa Ceph mientras expone una conspiración. Incluye icónicos entornos abiertos, un arco compuesto y el legendario Nanotraje.;https://media.rawg.io/media/games/1c6/1c61ef4ce04bce876841118580b03ccb.jpg;Action, Shooter, Adventure, Strategy;Electronic Arts, Crytek;Electronic Arts;3.7;76.0;crysis-3
Crysis Collection;Crysis Warhead;RAWG;2008.0;Una expansión independiente del Crysis original que sigue la historia del sargento Sykes durante la misma invasión alienígena, con niveles más amplios y acción más explosiva.;https://media.rawg.io/media/games/e34/e344d4b45f3d393d44cbed087279379c.jpg;Action, Shooter;Crytek;Electronic Arts;3.81;84.0;crysis-warhead
Cult of the Lamb v1.4.6.596;Cult of the Lamb;RAWG;2022.0;Funda tu propio culto en una tierra de falsos profetas. Aventúrate en mazmorras diversas y misteriosas, derrota enemigos y reúne recursos, luego regresa para construir y gestionar tu comuna de devotos seguidores del bosque.;https://media.rawg.io/media/games/ab8/ab8217a1fe2ced388a388722734e6d16.jpg;Action, Adventure, Strategy, Indie;Massive Monster;Devolver Digital;4.1;;cult-of-the-lamb
Cuphead v1.3.2 + Update 1.3.4;Cuphead;RAWG;2017.0;Un plataformas de acción 2D dibujado a mano con estética de dibujos animados de los años 30. Enfrenta implacables combates contra jefes con una dificultad brutal, música de jazz e inspiración en los estudios Fleischer.;https://media.rawg.io/media/games/226/2262cea0b385db6cf399f4be831603b0.jpg;Action, Indie, Platformer;Studio MDHR;StudioMDHR Entertainment, Studio MDHR;4.37;87.0;cuphead
Cyberpunk 2077 v2.31;Cyberpunk 2077: Phantom Liberty;RAWG;2023.0;Phantom Liberty es una nueva aventura de thriller de espías para Cyberpunk 2077. Cuando el transbordador orbital de la presidenta de la NUSA es derribado sobre Dogtown, V es llamado por la FIA para una misión de rescate en el distrito más peligroso de la ciudad.;https://media.rawg.io/media/games/062/06285b425e61623530c5430f20e5d222.jpg;Action, Shooter;CD PROJEKT RED;CD PROJEKT RED;4.71;;cyberpunk-2077-phantom-liberty
Danganronpa.V3.Killing.Harmony-CODEX;Codex of Victory;RAWG;2017.0;Codex of Victory es una estrategia por turnos de ciencia ficción ambientada en una guerra futurista entre humanos biológicos y cyborgs transhumanistas, con construcción de bases entre batallas.;https://media.rawg.io/media/screenshots/96c/96c02bb89cb8f438143b5b60d48d16f2.jpeg;Adventure, Strategy, Indie;Ino-Co Plus, AKPublish;1C Company, AKPublish pty;3.0;;codex-of-victory
Dark Souls 2 Scholar of the First v1.02;Dark Souls II: Scholar of the First Sin;RAWG;2015.0;Una nueva perspectiva de la saga Souls, ambientada en Drangleic. Los jugadores deben superar implacables enemigos y jefes mientras descubren la trágica historia del reino. Scholar of the First Sin mejora la experiencia con todo el DLC y posiciones de enemigos reorganizadas.;https://media.rawg.io/media/games/8fc/8fc59e74133fd8a8a436b7e2d0fb36c2.jpg;Action, RPG;BANDAI NAMCO Entertainment America, FromSoftware;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US, FromSoftware;4.14;79.0;dark-souls-ii-scholar-of-the-first-sin
Dark Souls 3 v1.151.35;Dark Souls III;RAWG;2016.0;La cuarta entrega de la saga Dark Souls. En el reino de Lothric, la Primera Llama se apaga una vez más. Un nuevo No-muerto Encendido se levanta para enfrentarse a poderosos Señores de Ceniza y desentrañar los secretos de un mundo agonizante.;https://media.rawg.io/media/games/da1/da1b267764d77221f07a4386b6548e5a.jpg;Action, RPG;BANDAI NAMCO Entertainment America, FromSoftware;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US, FromSoftware;4.4;89.0;dark-souls-iii
Dark Souls Remastered;Dark Souls;RAWG;2011.0;Una aventura de complejidad sobrecogedora ambientada en Lordran, la tierra de los antiguos señores. Muere, aprende y persevera en un mundo de fantasía oscura con enemigos letales y poderosos jefes interconectados sin costuras.;https://media.rawg.io/media/games/582/582b5518a52f5086d15dde128264b94d.jpg;Action, RPG;BANDAI NAMCO Entertainment America, FromSoftware;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US;4.34;89.0;dark-souls
Darkest Dungeon 1 v25688;Darkest Dungeon;RAWG;2016.0;Darkest Dungeon es un RPG roguelike sobre el estrés psicológico que generan las expediciones. Recluta, entrena y gestiona a un grupo de héroes imperfectos mientras exploran las ruinas bajo el gótico solar de tu ancestro.;https://media.rawg.io/media/games/fd9/fd92f105dcd6491bc5d61135033d1f19.jpg;RPG, Strategy, Indie;Red Hook Studios;Red Hook Studios;4.17;84.0;darkest-dungeon
Darkest Dungeon 2 v67054;Darkest Dungeon 2;RAWG;2023.0;La esperada secuela del RPG de horror gótico. Viaja por un mundo roto en una diligencia, enfrentando horrores crecientes. Tus héroes cargan con su propio trauma y relaciones que afectan a cada partida.;https://media.rawg.io/media/games/aea/aeaab29c551ea9919e571c44e75a5106.jpg;RPG, Strategy;Red Hook Studios;;3.82;;darkest-dungeon-2
Darksiders;Darksiders;RAWG;2010.0;En Darksiders juegas como War, uno de los Cuatro Jinetes del Apocalipsis. Falsamente acusado de desencadenar prematuramente el Fin de los Días, War debe regresar a la Tierra para limpiar su nombre ante una conspiración de demonios y ángeles.;https://media.rawg.io/media/games/8d4/8d46786ca86b1d95f3dc7e700e2dc4dd.jpg;Action;THQ, Vigil Games;THQ Nordic, THQ;3.76;83.0;darksiders
Darksiders II Deathinitive Edition;Darksiders II Deathinitive Edition;RAWG;2015.0;Conviértete en la temible fuerza que todo lo teme pero que nada puede escapar. Juega como Muerte, otro de los Jinetes del Apocalipsis, en una misión para resucitar a su hermano War y descubrir la verdad detrás del apocalipsis.;https://media.rawg.io/media/games/cfe/cfe5960b5caca432f3575fc7d8ff736b.jpg;Action, RPG;THQ Nordic, Vigil Games, Gunfire Games;THQ Nordic, Nordic Games Publishing;3.79;75.0;darksiders-ii-deathinitive-edition
Days Gone v1.06;Days Gone;RAWG;2019.0;Days Gone es una aventura de acción en mundo abierto ambientada dos años después de una pandemia global. Controla a Deacon St. John, un ex-motero sobreviviendo en un devastado Noroeste del Pacífico infestado de Freakers: salvajes criaturas similares a zombis.;https://media.rawg.io/media/games/a79/a79d2fc90c4dbf07a8580b19600fd61d.jpg;Action;Bend Studio, SIE Bend Studio;Sony Interactive Entertainment, PlayStation PC, PlayStation Mobile;3.97;74.0;days-gone
Dead Cells v20.06.2023;Dead Cells;RAWG;2018.0;Dead Cells es un juego roguelike de tipo Metroidvania desarrollado por Motion Twin. Sin historia, sin puntos de control, sin zonas seguras: solo dominio a través de repetidas partidas en un castillo siempre cambiante, con progresión permanente desbloqueada por el camino.;https://media.rawg.io/media/games/f90/f90ee1a4239247a822771c40488e68c5.jpg;Action, RPG, Indie, Platformer;Plug In Digital, Playdigious, Motion Twin;Plug In Digital, Playdigious, Motion Twin;4.23;88.0;dead-cells
Dead Island 2 Gold Edition;Dead Island 2;RAWG;2023.0;Un mortal virus se propaga por Los Ángeles, convirtiendo a sus habitantes en zombis salvajes. Eres uno de los pocos supervivientes inmunes. Explora un paraíso bañado de sol y lleno de gore, y mejora armas para masacrar a los muertos vivientes.;https://media.rawg.io/media/games/9cd/9cd22ae5aebd922f96f2bc50efab83df.jpg;Action, Adventure;Dambuster Studios;Deep Silver;3.67;75.0;dead-island-2
Dead Space;Dead Space (2008);RAWG;2008.0;Dead Space es un shooter en tercera persona con elementos de survival horror. Como el ingeniero Isaac Clarke, explora la infestada nave minera USG Ishimura, desmembrando grotescos Necromorfos para sobrevivir y descubrir el misterio del Marcador.;https://media.rawg.io/media/games/ebd/ebdbb7eb52bd58b0e7fa4538d9757b60.jpg;Action, Shooter;Electronic Arts, Visceral Games, Electronic Arts Redwood Shores;Electronic Arts;4.39;86.0;dead-space
Dead Space 2;Dead Space 2;RAWG;2011.0;Dead Space 2 lleva a Isaac Clarke al Sprawl, una enorme estación espacial en órbita alrededor de Saturno ahora infestada de Necromorfos. Isaac enfrenta nuevos horrores mientras lucha contra el control psicológico del Marcador y sus recuerdos perdidos.;https://media.rawg.io/media/games/ae1/ae1518c3dc1e847344661905fd2a8d16.jpg;Action, Shooter;Electronic Arts, Visceral Games;Electronic Arts;4.38;87.0;dead-space-2
Dead Space 3;Dead Space 3;RAWG;2013.0;La tercera parte de la saga Dead Space. Al igual que las entregas anteriores, combina survival horror con acción en tercera persona mientras Isaac Clarke investiga el origen de los Marcadores en el helado planeta Tau Volantis.;https://media.rawg.io/media/games/568/5689c58278e807c1574ceefb8dec026b.jpg;Action, Shooter;Electronic Arts, Visceral Games, Visceral;Electronic Arts;3.65;77.0;dead-space-3
Deadpool - The Video Game;Up: The Video Game;RAWG;2009.0;Sin sinopsis disponible.;https://media.rawg.io/media/screenshots/f84/f84ff165f43221fb4cece075d7ddce8b.jpg;Action, Arcade, Family, Platformer;Asobo Studio, Heavy Iron Studios;THQ;2.78;;up
Death Stranding Directors Cut;Death Stranding Director's Cut;RAWG;2021.0;Sam Bridges debe atravesar un mundo completamente transformado por el Death Stranding. Cargando sobre sus hombros los fragmentos desconectados del futuro, debe cruzar un Estados Unidos abandonado para reconectar la civilización y entregar esperanza.;https://media.rawg.io/media/games/b6f/b6fa0cde8a1204c7d6edc2ec3c753df9.jpg;Action, Adventure;Kojima Productions;Sony Interactive Entertainment, 505 Games;4.27;;death-stranding-directors-cut
Decay of Logos v1.05;Decay of Logos;RAWG;2019.0;Un action-RPG con jugabilidad mezcla de Zelda y Dark Souls. Explora un vasto reino junto a un mítico alce compañero, descubriendo un antiguo relato de traición y venganza.;https://media.rawg.io/media/screenshots/00c/00c9da3e696a00e916a4d3e5c9e71a86.jpg;Action, Adventure, RPG, Indie;Amplify Creations;Rising Star Games;2.17;37.0;decay-of-logos
Detectives;A Detective's Novel;RAWG;2016.0;En una fría noche de noviembre en una desolada finca en lo alto de las montañas, un hombre inocente es asesinado. Un detective debe reconstruir la verdad a través del diálogo y la investigación en este juego de misterio narrativo.;https://media.rawg.io/media/screenshots/048/0489476789f4e4865f314ae1eb4c05ed.jpg;Adventure, Indie;Amaterasu Software;Amaterasu Software;1.93;;a-detectives-novel
Detroit Become Human;Detroit: Become Human;RAWG;2018.0;En el mundo del futuro, los androides hacen casi todo lo que hacen las personas. Tres androides  - Kara, Connor y Markus -  se enfrentan a un punto de inflexión en su existencia. Sus decisiones determinarán si los androides siguen siendo esclavos o luchan por su libertad.;https://media.rawg.io/media/games/951/951572a3dd1e42544bd39a5d5b42d234.jpg;Action, Adventure;Quantic Dream;Sony Computer Entertainment, Quantic Dream;4.34;79.0;detroit-become-human
Devil May Cry 3 Special Edition v1.3;Devil May Cry 3: Dante's Awakening;RAWG;2005.0;Dante regresa en Devil May Cry 3 Special Edition con nuevas formas estilosas de combate. Una precuela del juego original que sigue a un joven Dante enfrentándose a su hermano gemelo Vergil y despertando a su herencia demoníaca.;https://media.rawg.io/media/games/912/9128672600b6f23f28c438fc4963e042.jpg;Action;Capcom U.S.A;Capcom;4.38;78.0;devil-may-cry-3
Diablo II Complete Edition;Diablo II;RAWG;2000.0;Diablo II es un hack-and-slash action-RPG desarrollado por Blizzard Entertainment. Lucha contra las fuerzas del Infierno a través de cinco actos, eligiendo entre múltiples clases de personajes, en el icónico dungeon crawler que definió el género.;https://media.rawg.io/media/games/8f7/8f79c37b124822e59af54023ae6bb384.jpg;Action, RPG;Blizzard North;Blizzard Entertainment;4.38;88.0;diablo-2
Dishonored 2 v1.77.9;Dishonored 2;RAWG;2016.0;Dishonored 2 es un juego de acción y aventuras que premia el sigilo y la creatividad. En la ciudad costera de Karnaca, juega como la emperatriz Emily Kaldwin o su Protector Real Corvo Attano para recuperar un trono robado.;https://media.rawg.io/media/games/f6b/f6bed028b02369d4cab548f4f9337e81.jpg;Action, RPG;Bethesda Softworks, Arkane Studios;Bethesda Softworks;4.26;86.0;dishonored-2
Dishonored Goty v1.4.1;Dishonored;RAWG;2012.0;Dishonored es un juego de sigilo en primera persona donde tú eliges el enfoque: sé un fantasma o siembra la destrucción. Como Corvo, un guardián real acusado de asesinato, usa poderes sobrenaturales para ejecutar tu venganza.;https://media.rawg.io/media/games/4e6/4e6e8e7f50c237d76f38f3c885dae3d2.jpg;Action, Adventure, RPG;Bethesda Softworks, Arkane Studios;Bethesda Softworks;4.38;91.0;dishonored
Disney Dreamlight Valley v1.20.2.42;Disney Dreamlight Valley;RAWG;2023.0;Disney Dreamlight Valley es una combinación de simulador de vida y juego de aventuras poblado de personajes de Disney y Pixar. Restaura un mágico reino invadido por la oscuridad, hazte amigo de personajes icónicos y construye tu aldea soñada.;https://media.rawg.io/media/games/2f7/2f77dc8fa62aa506e7a06887d3756c3f.jpg;Adventure, Simulation;Gameloft;Gameloft;3.44;;disney-dreamlight-valley
Dispatch v1.0.16409;Dispatch;RAWG;2025.0;Dispatch es una comedia de superhéroes en el trabajo donde las decisiones importan. Gestiona un disfuncional grupo de héroes, atiende emergencias y navega el caótico día a día de una central de despacho de superhéroes.;https://media.rawg.io/media/games/2f6/2f6c45362818859574ac0e37edf3d3c4.jpg;Action, Adventure, Strategy, Casual, Indie;AdHoc Studio;AdHoc Studio;4.5;;dispatch-2
DmC Devil May Cry Complete Edition v06.03.2013;DmC: Devil May Cry;RAWG;2013.0;Un reinicio de la franquicia ambientado en una pesadilla paralela llamada Limbo. Un joven Dante, criado fuera del mundo humano y del demoníaco, descubre su herencia demoníaca y lucha contra un rey demonio que controla a la humanidad.;https://media.rawg.io/media/games/295/295eb868c241e6ad32ac033b8e6a2ede.jpg;Action, Adventure;Ninja Theory;Capcom;4.02;85.0;dmc
